timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
11744,,-8.086542390631747,-6.784892279571136,-13.027475885109364,-9.711663909840144,-9.701358741861052,-4.600432048875282,-7.979934845214029,-8.148217164943683,-6.955141649490393,1.9011347748685927,-2.990431202475168,-7.571189158933266,5.4785855577855305,-11.024951003619211
11994,,-8.543420481093056,-4.567811207259877,-9.927636954279109,-6.443801982828119,-8.127604513244888,-5.266215884120227,-9.410095632957203,-8.085016065667403,-10.710558695913846,1.1737866096943308,2.2067534381061367,-8.944095903195349,2.2106350178215424,-14.843618077296544
12244,,-7.636717121975451,-5.844781344862481,-7.135131160976849,-4.692688694191852,-5.678238637713027,-8.279703304632424,-10.189821730696307,-11.302972300724877,-9.142144838984285,2.598644968939428,2.4395787236678244,-8.899119052059502,-1.3553142183299975,-15.393497579951934
12494,,-8.395277099086428,-4.900931022690305,-9.662874815230182,-5.771711117912752,-12.003417087927826,-7.49416826314759,-4.839323630961758,-11.107154830057224,-9.868039628764912,0.5185711491385687,3.2430412448402106,-9.109758759442482,-3.3802171491581112,-4.425402079413096
12744,,-6.613707324536209,-0.8238056974808068,-7.7875306072109,-5.236358570719225,-11.636168666781224,-5.7843631026431375,-3.763198232816309,-4.150984732190489,-6.512369973016928,2.4009527681113663,0.4845413635786649,-8.866343923465262,-0.3572990207379283,3.0453439691221744
12994,,-7.7437874504965745,1.2693561645059557,-10.600982183559562,-1.802094956876005,-5.614142595181248,-8.372494679130986,-6.29085741732677,-3.061648647067442,-4.776736995079872,1.1401762778353206,-3.504781423516221,-7.599761718491099,3.6333820332038407,-0.7890461016518923
13243,,-6.210183193864964,2.996986399882928,-12.95194988010144,-2.6022339176220144,-7.776232195842116,-5.32293957360743,-6.739474134238726,-4.316842878112376,-6.169453668293999,2.363535425499077,-2.6717385653461863,-4.876198014270613,8.141295566122487,-10.596587959979336
13493,,-4.826844372479546,-1.0337608254671349,-14.3456850795292,-4.046945641066984,-9.680004988357044,-3.510140952641815,-3.9378667417208457,-6.169730615933186,-6.740308932766151,3.781850776512638,-1.96834916176146,-6.883757946714843,7.476597425242648,-11.457660044740503
13743,,-4.7930634432162105,-5.613746591944631,-13.004037713964916,-6.724095488836421,-8.261116218597435,-1.8587033289465047,-1.6895028127406688,-10.046065422113672,-9.246407722161326,2.8527141796139177,0.130093246284404,-13.91206094195362,4.976397740967643,-9.175954951628167
13993,,-7.451256176356056,-2.1878454110135817,-14.652173161610593,-9.079580638650572,-6.962937868153168,-3.813825090797786,-4.819459304303408,-7.471246497081511,-9.984803270773613,1.6260466844188446,1.4635481379913866,-10.667547030486343,3.678809653186916,-11.219872862163902
